6,43,59,86,56,69,99,64,79,51,41,51,15,68,84,20,20,75,99,6,11,82,86,5,48,49,69,38,96,25,55,72,80,92,85,64,87,43,89,13,54,75,99,30,4,45,71,17,14,44,46,31,67,76,79,61,30,24,52,55,23,50,65,34,57,66,52,78,98,91,77,34,36,2,69,34,66,68,25,2,80,67,41,63,14,95,31,89,66,10,67,42,14,85,18,66,95,16,83,64
69,10,55,57,86,14,18,36,70,49,67,62,27,44,59,20,76,90,56,82,86,19,68,55,55,50,36,32,55,39,41,14,12,61,82,99,90,96,84,37,8,84,90,3,98,66,100,75,6,33,5,61,30,49,92,78,41,74,7,56,21,61,29,21,64,15,77,69,74,40,14,99,41,73,53,43,64,49,68,69,64,6,32,92,47,85,11,52,20,20,73,28,52,23,77,12,67,97,22,71
5,60,87,93,35,73,26,100,1,88,94,82,9,70,95,33,35,25,94,53,70,13,53,95,6,94,99,99,26,44,11,45,16,71,85,64,19,73,12,68,32,27,87,10,53,17,94,48,63,14,39,28,60,39,54,6,31,89,24,70,63,1,33,50,50,70,34,87,76,70,7,48,60,82,8,80,53,4,65,88,99,39,66,61,45,14,38,38,10,61,29,32,5,43,46,13,22,88,10,87
8,48,27,70,45,12,40,23,85,36,82,54,43,26,7,89,42,13,73,70,74,83,30,33,66,39,9,72,58,84,73,51,36,75,38,61,67,59,42,38,90,52,81,80,91,54,10,66,3,14,37,80,16,7,81,86,76,86,12,93,73,59,16,4,6,63,63,59,4,21,68,75,92,12,41,15,20,12,71,44,16,50,40,49,61,67,23,89,92,71,60,59,32,37,61,8,92,49,62,38
53,70,32,59,6,12,8,66,93,45,49,21,26,1,59,48,16,23,49,22,66,64,71,81,89,12,26,42,92,83,62,54,85,39,39,91,95,55,13,87,84,45,56,72,39,64,96,97,14,81,29,80,44,22,57,39,36,60,10,95,84,78,39,83,52,5,33,63,12,7,49,67,14,49,44,61,52,8,84,64,62,78,12,58,13,4,65,25,56,90,38,69,33,70,37,74,39,41,11,72
10,70,12,82,18,65,69,61,78,97,76,46,30,54,29,41,82,36,64,55,52,2,39,61,11,25,82,10,90,46,79,86,59,26,87,58,98,71,58,30,1,35,42,79,89,2,17,32,70,53,82,96,2,55,76,40,13,66,90,91,2,66,90,27,6,80,32,12,27,63,50,80,5,35,66,94,75,61,73,59,31,15,98,99,60,15,78,17,42,61,80,87,95,95,41,56,4,13,80,53
82,64,94,88,67,33,41,39,5,5,42,43,43,28,83,18,63,29,89,71,33,90,57,79,44,69,9,74,49,39,57,68,59,4,47,34,11,1,95,14,65,84,13,63,26,48,98,8,52,95,46,45,23,42,1,33,62,92,4,61,21,53,89,68,85,99,65,22,90,69,32,28,41,78,22,64,42,24,2,23,9,49,52,52,14,19,44,66,12,87,8,22,21,22,74,84,23,93,91,37
82,4,65,99,34,66,99,15,38,98,98,97,12,95,20,97,74,93,20,96,67,52,89,80,29,84,54,64,45,93,82,81,93,48,58,96,18,79,26,68,81,99,66,83,91,89,60,80,55,99,81,46,27,91,48,56,36,44,84,93,47,83,40,80,60,44,44,4,98,30,33,29,60,29,9,5,74,15,59,79,88,8,51,35,12,65,63,26,56,68,100,51,49,76,96,11,91,1,32,44
73,7,48,1,90,75,41,3,71,19,99,63,50,91,45,41,81,6,40,45,12,55,85,5,99,98,81,8,32,75,58,54,58,65,70,44,75,93,99,21,25,63,87,4,90,12,25,37,81,41,80,60,52,6,26,30,37,29,51,12,38,97,68,69,70,35,11,45,100,58,91,72,92,83,47,70,69,54,93,29,60,79,33,99,45,86,28,16,12,79,78,43,45,52,88,26,87,19,29,69
15,32,64,87,12,59,63,43,73,67,87,70,71,40,40,85,7,60,100,9,15,61,90,29,61,22,74,13,6,74,95,96,1,28,97,61,5,1,35,87,7,19,28,41,40,45,8,59,80,38,29,85,22,45,31,37,7,64,12,35,35,32,26,66,65,5,24,33,35,32,46,19,30,18,73,26,96,94,10,93,31,40,20,100,28,86,48,28,24,54,1,24,83,77,61,6,59,33,1,23
