0.80995,0.47638,0.25619,0.87453,0.8597,0.49187,0.035303,0.89831,0.30982,0.86451,0.59487,0.94061,0.14604,0.45995,0.22328
0.63781,0.6028,0.16277,0.59977,0.23198,0.46605,0.2695,0.22342,0.68111,0.43255,0.53512,0.53397,0.32631,0.83372,0.44914
0.89807,0.59148,0.62578,0.25811,0.16811,0.041714,0.99627,0.6733,0.93405,0.092809,0.33356,0.67117,0.028786,0.81544,0.53453
0.62182,0.22526,0.25075,0.35843,0.026723,0.617,0.44695,0.81879,0.94739,0.13779,0.85468,0.60753,0.69455,0.32395,0.99039
0.41461,0.66843,0.26298,0.88754,0.32243,0.57803,0.15278,0.94893,0.59908,0.24197,0.26564,0.75087,0.95876,0.46168,0.71735
0.64756,0.15655,0.84393,0.90053,0.55516,0.29881,0.88623,0.87432,0.94887,0.22301,0.93394,0.98132,0.72905,0.67396,0.98006
0.48927,0.77425,0.39742,0.44795,0.82453,0.43567,0.03138,0.39374,0.40402,0.86774,0.38983,0.72767,0.73675,0.59523,0.053738
0.093755,0.21305,0.10458,0.26885,0.80425,0.13663,0.11603,0.93696,0.041032,0.76418,0.68307,0.85732,0.17461,0.13439,0.63687
0.63732,0.16912,0.19385,0.55382,0.024408,0.29972,0.25086,0.4369,0.29383,0.34471,0.27501,0.99184,0.35541,0.019492,0.96038
0.95026,0.72575,0.36307,0.17885,0.37151,0.76137,0.75967,0.16252,0.031939,0.38478,0.027958,0.75946,0.57465,0.12511,0.26992
